Date,Price,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,L_Ball,Sum
December 31 2021,"365,000",19,36,37,39,41,8,180
December 30 2021,"365,000",7,15,19,26,32,9,108
December 29 2021,"365,000",9,19,21,33,48,8,138
December 28 2021,"365,000",4,6,14,33,41,9,107
December 27 2021,"365,000",12,14,28,37,47,8,146
December 26 2021,"365,000",4,16,27,28,46,9,130
December 25 2021,"365,000",2,5,7,29,44,8,95
December 24 2021,"365,000",2,9,22,38,42,8,121
December 23 2021,"365,000",18,20,22,24,35,13,132
December 22 2021,"365,000",4,29,32,35,46,17,163
December 21 2021,"365,000",2,10,18,26,31,14,101
December 20 2021,"365,000",17,21,31,35,45,6,155
December 19 2021,"365,000",9,16,42,44,48,14,173
December 18 2021,"365,000",4,7,27,43,44,6,131
December 17 2021,"365,000",6,7,25,28,45,16,127
December 16 2021,"365,000",8,10,17,38,48,4,125
December 15 2021,"365,000",10,23,26,30,39,7,135
December 14 2021,"365,000",10,23,24,28,45,18,148
December 13 2021,"365,000",3,9,20,24,43,16,115
December 12 2021,"365,000",7,21,35,41,44,17,165
December 11 2021,"365,000",8,9,16,31,44,17,125
December 10 2021,"365,000",23,29,35,36,39,8,170
December 9 2021,"365,000",8,21,23,25,41,16,134
December 8 2021,"365,000",5,20,24,40,43,16,148
December 7 2021,"365,000",24,31,41,43,44,15,198
December 6 2021,"365,000",1,8,11,26,39,10,95
December 5 2021,"365,000",7,14,18,19,41,7,106
December 4 2021,"365,000",9,18,23,30,47,16,143
December 3 2021,"365,000",3,12,14,25,44,7,105
December 2 2021,"365,000",8,23,29,34,48,1,143
December 1 2021,"365,000",4,6,32,36,40,8,126
November 30 2021,"365,000",9,25,29,40,42,14,159
November 29 2021,"365,000",16,17,22,25,29,13,122
November 28 2021,"365,000",9,14,24,29,30,7,113
November 27 2021,"365,000",2,6,7,11,19,1,46
November 26 2021,"365,000",1,13,20,34,48,9,125
November 25 2021,"365,000",10,12,14,36,41,11,124
November 24 2021,"365,000",5,6,9,29,30,4,83
November 23 2021,"365,000",6,11,14,16,41,14,102
November 22 2021,"365,000",5,7,8,14,35,8,77
November 21 2021,"365,000",3,11,17,20,28,5,84
November 20 2021,"365,000",12,22,24,26,30,11,125
November 19 2021,"365,000",3,4,9,19,40,11,86
November 18 2021,"365,000",10,32,36,42,46,16,182
November 17 2021,"365,000",7,11,24,28,29,9,108
November 16 2021,"365,000",1,12,23,30,47,2,115
November 15 2021,"365,000",5,12,14,28,34,3,96
November 14 2021,"365,000",1,8,21,22,27,11,90
November 13 2021,"365,000",1,29,33,36,38,5,142
November 12 2021,"365,000",7,15,21,22,35,12,112
November 11 2021,"365,000",21,27,34,36,47,15,180
November 10 2021,"365,000",7,8,20,35,47,1,118
November 9 2021,"365,000",5,9,10,12,34,15,85
November 8 2021,"365,000",23,24,33,40,43,14,177
November 7 2021,"365,000",15,18,24,30,42,10,139
November 6 2021,"365,000",23,24,27,32,33,10,149
November 5 2021,"365,000",1,2,11,35,40,1,90
November 4 2021,"365,000",6,9,12,23,41,8,99
November 3 2021,"365,000",7,19,25,32,45,3,131
November 2 2021,"365,000",8,19,26,38,39,6,136
November 1 2021,"365,000",4,27,28,29,47,8,143
October 31 2021,"365,000",5,7,11,21,29,15,88
October 30 2021,"365,000",5,19,22,36,37,10,129
October 29 2021,"365,000",1,14,24,42,45,9,135
October 28 2021,"365,000",21,23,24,44,46,13,171
October 27 2021,"365,000",14,23,39,42,44,17,179
