Date,Price,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,L_Ball,Sum
October 26 2021,"365,000",9,11,15,25,37,7,104
October 25 2021,"365,000",13,25,27,35,39,9,148
October 24 2021,"365,000",3,20,21,32,38,6,120
October 23 2021,"365,000",5,12,19,33,44,6,119
October 22 2021,"365,000",1,3,14,21,28,10,77
October 21 2021,"365,000",6,13,17,25,28,2,91
October 20 2021,"365,000",6,20,21,31,42,3,123
October 19 2021,"365,000",1,8,22,28,44,7,110
October 18 2021,"365,000",9,17,18,25,47,16,132
October 17 2021,"365,000",5,11,24,42,43,3,128
October 16 2021,"365,000",20,33,38,39,40,6,176
October 15 2021,"365,000",5,15,21,32,45,6,124
October 14 2021,"365,000",20,28,32,38,45,5,168
October 13 2021,"365,000",13,16,18,23,33,17,120
October 12 2021,"365,000",1,6,8,25,31,17,88
October 11 2021,"365,000",4,17,20,22,40,9,112
October 10 2021,"365,000",7,23,27,33,43,15,148
October 9 2021,"365,000",12,27,28,30,33,9,139
October 8 2021,"365,000",6,22,24,29,46,1,128
October 7 2021,"365,000",2,7,21,34,41,5,110
October 6 2021,"365,000",8,14,23,44,45,17,151
October 5 2021,"365,000",18,20,33,44,46,10,171
October 4 2021,"365,000",2,3,29,37,39,17,127
October 3 2021,"365,000",15,35,36,39,46,9,180
October 2 2021,"365,000",1,12,24,25,37,2,101
October 1 2021,"365,000",2,15,38,43,47,10,155
September 30 2021,"365,000",12,23,32,38,47,11,163
September 29 2021,"365,000",9,26,40,41,45,6,167
September 28 2021,"365,000",2,17,23,38,42,14,136
September 27 2021,"365,000",1,13,17,40,45,12,128
September 26 2021,"365,000",7,23,28,30,39,5,132
September 25 2021,"365,000",6,16,24,33,34,5,118
September 24 2021,"365,000",7,18,20,31,40,12,128
September 23 2021,"365,000",13,27,32,39,41,2,154
September 22 2021,"365,000",11,34,38,43,46,6,178
September 21 2021,"365,000",1,5,37,44,48,6,141
September 20 2021,"365,000",22,35,38,40,41,1,177
September 19 2021,"365,000",3,4,31,37,43,6,124
September 18 2021,"365,000",4,10,26,30,47,6,123
September 17 2021,"365,000",8,12,35,36,45,2,138
September 16 2021,"365,000",1,18,19,34,39,15,126
September 15 2021,"365,000",21,22,32,45,48,14,182
September 14 2021,"365,000",17,22,24,37,48,18,166
September 13 2021,"365,000",5,7,22,28,30,5,97
September 12 2021,"365,000",1,3,11,13,34,1,63
September 11 2021,"365,000",4,5,22,29,39,14,113
September 10 2021,"365,000",1,6,19,21,28,2,77
September 9 2021,"365,000",1,2,4,34,39,2,82
September 8 2021,"365,000",2,5,15,35,44,14,115
September 7 2021,"365,000",8,14,16,32,38,15,123
September 6 2021,"365,000",3,6,18,38,44,8,117
September 5 2021,"365,000",4,21,23,36,42,3,129
September 4 2021,"365,000",20,22,23,33,40,16,154
September 3 2021,"365,000",7,16,28,36,44,12,143
September 2 2021,"365,000",6,21,22,27,41,13,130
September 1 2021,"365,000",7,21,23,26,36,3,116
August 31 2021,"365,000",6,15,27,36,37,4,125
August 30 2021,"365,000",13,22,28,30,44,11,148
August 29 2021,"365,000",4,19,30,42,48,16,159
August 28 2021,"365,000",2,6,8,11,38,2,67
August 27 2021,"365,000",4,8,17,35,39,4,107
August 26 2021,"365,000",9,12,31,36,45,14,147
August 25 2021,"365,000",9,24,33,40,48,11,165
August 24 2021,"365,000",4,10,13,24,44,12,107
August 23 2021,"365,000",4,6,24,32,45,12,123
August 22 2021,"365,000",5,8,15,23,39,14,104
August 21 2021,"365,000",1,10,23,27,33,4,98
August 20 2021,"7,300,000",8,24,36,39,45,6,158
August 19 2021,"365,000",11,12,16,38,48,11,136
August 18 2021,"365,000",18,21,22,31,33,6,131
August 17 2021,"365,000",2,10,25,29,48,6,120
August 16 2021,"365,000",3,13,39,40,44,15,154
August 15 2021,"365,000",16,23,26,29,46,11,151
August 14 2021,"365,000",28,34,39,42,45,4,192
August 13 2021,"365,000",6,10,16,26,31,18,107
August 12 2021,"365,000",1,9,19,20,31,9,89
August 11 2021,"365,000",1,17,21,24,27,14,104
August 10 2021,"365,000",15,22,34,44,48,9,172
August 9 2021,"365,000",2,4,19,35,48,9,117
August 8 2021,"7,300,000",1,14,23,29,31,6,104
August 7 2021,"365,000",2,35,41,43,44,16,181
August 6 2021,"365,000",1,4,6,25,26,1,63
August 5 2021,"365,000",5,15,36,44,46,17,163
August 4 2021,"365,000",1,25,30,36,37,2,131
August 3 2021,"365,000",10,15,18,41,45,10,139
August 2 2021,"365,000",4,5,24,36,38,2,109
August 1 2021,"365,000",7,30,32,46,48,13,176
July 31 2021,"365,000",7,26,29,36,42,6,146
July 30 2021,"365,000",6,41,44,46,48,13,198
July 29 2021,"365,000",2,4,9,10,39,7,71
July 28 2021,"365,000",17,20,26,44,48,5,160
July 27 2021,"365,000",7,31,33,47,48,17,183
July 26 2021,"365,000",8,26,39,42,46,7,168
July 25 2021,"365,000",6,12,27,43,46,15,149
July 24 2021,"365,000",12,13,26,33,42,9,135
July 23 2021,"365,000",5,15,17,24,29,14,104
July 22 2021,"365,000",20,28,29,33,34,4,148
July 21 2021,"365,000",5,30,36,42,44,5,162
July 20 2021,"365,000",6,8,16,31,46,13,120
July 19 2021,"365,000",11,38,42,46,48,1,186
July 15 2021,"365,000",5,10,14,15,19,8,71
July 12 2021,"365,000",11,12,22,24,46,13,128
July 8 2021,"365,000",2,17,18,35,44,18,134
July 5 2021,"365,000",2,5,6,20,36,11,80
July 1 2021,"365,000",15,22,30,33,43,2,145
June 28 2021,"365,000",5,7,23,25,48,8,116
June 24 2021,"365,000",23,26,31,35,46,12,173
June 21 2021,"365,000",22,28,33,38,43,17,181
June 17 2021,"365,000",7,10,24,29,45,1,116
June 14 2021,"365,000",3,17,19,21,37,12,109
June 10 2021,"365,000",6,8,10,24,43,15,106
June 7 2021,"365,000",5,7,18,24,34,18,106
June 3 2021,"365,000",11,19,22,29,48,6,135
May 31 2021,"365,000",2,19,28,31,47,9,136
May 27 2021,"365,000",5,6,8,40,43,17,119
May 24 2021,"365,000",3,6,7,36,48,3,103
May 20 2021,"365,000",7,13,38,43,44,11,156
May 17 2021,"365,000",18,29,32,40,44,16,179
May 13 2021,"365,000",3,7,25,31,36,8,110
May 10 2021,"365,000",4,31,32,42,44,7,160
May 6 2021,"365,000",5,13,26,32,47,8,131
May 3 2021,"365,000",7,11,12,18,21,10,79
April 29 2021,"365,000",1,9,10,18,34,13,85
April 26 2021,"365,000",8,22,33,37,38,10,148
April 22 2021,"365,000",20,28,29,35,37,15,164
April 19 2021,"365,000",13,21,31,32,33,15,145
April 15 2021,"365,000",3,4,18,31,43,4,103
April 12 2021,"365,000",1,12,16,26,36,4,95
April 8 2021,"365,000",17,25,30,37,39,10,158
April 5 2021,"365,000",2,5,16,26,39,10,98
April 1 2021,"365,000",5,27,36,42,47,9,166
March 29 2021,"365,000",9,29,32,42,45,4,161
March 25 2021,"365,000",3,24,25,37,44,5,138
March 22 2021,"365,000",3,5,24,31,45,1,109
March 18 2021,"365,000",2,5,21,28,45,15,116
March 15 2021,"365,000",5,14,15,27,37,7,105
March 11 2021,"7,300,000",15,19,28,30,48,5,145
March 8 2021,"365,000",3,9,40,41,44,6,143
March 4 2021,"365,000",2,5,32,35,37,2,113
March 1 2021,"365,000",5,11,17,26,47,3,109
February 25 2021,"365,000",16,34,35,38,45,1,169
February 22 2021,"365,000",2,10,12,43,45,1,113
February 18 2021,"365,000",10,11,17,27,32,15,112
February 15 2021,"365,000",1,21,22,34,45,11,134
February 11 2021,"7,300,000",7,9,15,31,39,1,102
February 8 2021,"365,000",2,12,22,24,26,11,97
February 4 2021,"365,000",3,9,13,24,40,16,105
February 1 2021,"365,000",15,17,27,30,39,2,130
January 28 2021,"365,000",2,19,24,26,31,1,103
January 25 2021,"365,000",1,24,28,34,41,2,130
January 21 2021,"365,000",11,15,26,34,47,15,148
January 18 2021,"365,000",2,13,14,19,31,7,86
January 14 2021,"365,000",3,16,20,21,47,10,117
January 11 2021,"365,000",1,8,20,37,39,8,113
January 7 2021,"365,000",3,20,25,28,30,18,124
January 4 2021,"365,000",2,12,21,26,46,7,114
