Date,Price,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,L_Ball,Sum
November 9 2022,"365,000",3,5,9,36,41,1,95
November 8 2022,"365,000",15,17,33,37,40,6,148
November 7 2022,"365,000",11,12,15,34,43,15,130
November 6 2022,"365,000",1,7,17,32,36,4,97
November 5 2022,"365,000",8,18,20,45,47,15,153
November 4 2022,"365,000",7,14,15,36,43,2,117
November 3 2022,"365,000",14,19,26,32,36,6,133
November 2 2022,"365,000",6,10,16,26,42,9,109
November 1 2022,"365,000",1,6,10,35,45,1,98
October 31 2022,"365,000",3,13,16,19,28,3,82
October 30 2022,"365,000",25,27,28,34,44,7,165
October 29 2022,"365,000",11,12,39,41,44,11,158
October 28 2022,"365,000",14,18,22,37,43,13,147
October 27 2022,"365,000",15,28,29,37,43,6,158
October 26 2022,"365,000",18,21,22,35,38,18,152
October 25 2022,"365,000",17,30,40,41,45,1,174
October 24 2022,"365,000",1,5,9,31,38,3,87
October 23 2022,"365,000",33,42,44,47,48,15,229
October 22 2022,"365,000",1,10,32,37,41,8,129
October 21 2022,"365,000",14,20,27,47,48,3,159
October 20 2022,"365,000",3,27,33,40,41,12,156
October 19 2022,"365,000",1,6,26,28,31,8,100
October 18 2022,"365,000",2,18,28,29,43,4,124
October 17 2022,"365,000",12,19,24,27,38,11,131
October 16 2022,"365,000",6,14,15,20,33,1,89
October 15 2022,"365,000",8,15,25,34,43,13,138
October 14 2022,"365,000",8,13,26,33,37,4,121
October 13 2022,"365,000",9,17,27,42,48,14,157
October 12 2022,"365,000",10,14,15,17,30,2,88
October 11 2022,"365,000",11,14,20,23,26,2,96
October 10 2022,"365,000",15,16,20,28,40,9,128
October 9 2022,"365,000",18,24,25,27,29,17,140
October 8 2022,"365,000",6,18,33,38,39,17,151
October 7 2022,"365,000",7,9,13,16,18,1,64
October 6 2022,"365,000",8,13,17,21,45,15,119
October 5 2022,"365,000",1,14,32,45,46,1,139
October 4 2022,"365,000",21,25,32,37,40,17,172
October 3 2022,"365,000",2,9,27,33,40,1,112
October 2 2022,"365,000",1,3,10,12,13,2,41
October 1 2022,"365,000",11,24,29,32,38,6,140
September 30 2022,"365,000",5,14,23,27,48,10,127
September 29 2022,"365,000",3,10,11,27,30,5,86
September 28 2022,"365,000",2,4,25,44,46,13,134
September 27 2022,"365,000",2,10,38,42,47,4,143
September 26 2022,"365,000",5,12,18,21,27,11,94
September 25 2022,"365,000",4,5,17,39,41,15,121
September 24 2022,"365,000",10,18,23,31,46,3,131
September 23 2022,"365,000",10,14,17,42,43,11,137
September 22 2022,"365,000",4,10,28,31,41,6,120
September 21 2022,"365,000",8,19,25,28,35,10,125
September 20 2022,"365,000",5,26,28,37,42,10,148
September 19 2022,"365,000",4,6,11,15,42,10,88
September 18 2022,"365,000",4,5,8,16,19,9,61
September 17 2022,"365,000",11,12,23,31,45,3,125
September 16 2022,"7,300,000",23,33,34,35,42,14,181
September 15 2022,"365,000",2,18,27,41,45,9,142
September 14 2022,"365,000",4,12,25,39,43,7,130
September 13 2022,"365,000",12,15,28,29,48,4,136
September 12 2022,"365,000",4,6,16,41,46,11,124
September 11 2022,"365,000",3,5,28,33,43,18,130
September 10 2022,"365,000",20,23,29,30,34,15,151
September 9 2022,"365,000",8,16,23,34,42,17,140
September 8 2022,"365,000",4,11,17,25,26,3,86
September 7 2022,"365,000",2,27,37,40,42,5,153
September 6 2022,"365,000",3,8,39,44,47,3,144
September 5 2022,"365,000",5,10,21,37,39,12,124
September 4 2022,"365,000",10,11,29,45,48,4,147
September 3 2022,"365,000",6,8,14,25,42,6,101
September 2 2022,"365,000",1,12,17,28,44,14,116
September 1 2022,"365,000",1,10,24,26,30,9,100
August 31 2022,"365,000",5,23,26,29,36,10,129
August 30 2022,"365,000",8,15,19,46,47,18,153
August 29 2022,"365,000",2,6,24,32,39,11,114
August 28 2022,"365,000",4,5,35,37,48,2,131
August 27 2022,"365,000",1,5,10,33,38,9,96
August 26 2022,"365,000",2,8,16,30,45,1,102
August 25 2022,"365,000",5,6,9,27,30,8,85
August 24 2022,"365,000",23,26,30,38,40,12,169
August 23 2022,"365,000",4,5,21,27,48,4,109
August 22 2022,"365,000",6,7,15,41,43,2,114
August 21 2022,"365,000",17,19,22,31,35,8,132
August 20 2022,"365,000",3,38,43,44,48,18,194
August 19 2022,"365,000",25,30,40,43,44,3,185
August 18 2022,"365,000",7,13,17,22,25,4,88
August 17 2022,"365,000",4,7,27,37,42,15,132
August 16 2022,"365,000",26,33,41,45,46,10,201
August 15 2022,"365,000",1,22,26,28,47,13,137
August 14 2022,"365,000",1,3,15,17,37,13,86
August 13 2022,"365,000",13,26,34,37,48,2,160
August 12 2022,"365,000",15,26,28,38,42,5,154
August 11 2022,"365,000",3,8,15,43,46,6,121
August 10 2022,"365,000",6,19,21,44,45,3,138
August 9 2022,"365,000",21,37,42,46,47,12,205
August 8 2022,"365,000",4,21,34,37,48,11,155
August 7 2022,"365,000",7,12,31,37,44,1,132
August 6 2022,"365,000",10,16,32,45,47,10,160
August 5 2022,"365,000",19,27,36,39,42,17,180
August 4 2022,"365,000",16,21,26,43,45,13,164
August 3 2022,"7,300,000",1,17,25,27,42,10,122
August 2 2022,"365,000",5,20,24,26,33,17,125
August 1 2022,"365,000",1,5,14,22,41,15,98
July 31 2022,"365,000",1,7,8,18,38,1,73
July 30 2022,"365,000",8,24,33,44,46,6,161
July 29 2022,"365,000",3,11,15,16,45,1,91
July 28 2022,"7,300,000",5,15,20,37,46,9,132
July 27 2022,"365,000",4,16,29,34,39,10,132
July 26 2022,"365,000",5,7,16,38,44,9,119
July 25 2022,"365,000",3,27,33,35,45,2,145
July 24 2022,"365,000",11,27,37,38,48,16,177
July 23 2022,"365,000",2,12,16,32,44,9,115
July 22 2022,"365,000",3,20,33,37,39,11,143
July 21 2022,"365,000",19,24,25,29,31,8,136
July 20 2022,"365,000",6,36,38,46,47,10,183
July 19 2022,"365,000",2,8,19,25,43,17,114
July 18 2022,"365,000",4,9,16,36,43,9,117
July 17 2022,"365,000",2,4,18,22,41,1,88
July 16 2022,"365,000",13,14,34,37,43,18,159
July 15 2022,"365,000",4,5,10,22,36,14,91
July 14 2022,"365,000",4,14,16,34,39,3,110
July 13 2022,"365,000",2,23,28,33,34,11,131
July 12 2022,"365,000",8,14,23,47,48,9,149
July 11 2022,"365,000",13,14,20,27,34,8,116
July 10 2022,"365,000",1,17,24,35,40,7,124
July 9 2022,"365,000",14,21,31,35,41,7,149
July 8 2022,"365,000",2,20,25,34,43,12,136
July 7 2022,"365,000",2,28,33,34,43,16,156
July 6 2022,"365,000",1,6,15,35,42,18,117
July 5 2022,"365,000",8,15,23,33,48,7,134
July 4 2022,"365,000",5,7,8,15,30,10,75
July 3 2022,"365,000",20,23,29,41,48,13,174
July 2 2022,"365,000",3,13,16,18,27,9,86
July 1 2022,"365,000",13,28,30,36,37,18,162
June 30 2022,"365,000",4,16,19,24,46,1,110
June 29 2022,"365,000",16,17,20,31,42,4,130
June 28 2022,"365,000",1,14,38,45,48,5,151
June 27 2022,"365,000",2,12,16,29,40,13,112
June 26 2022,"365,000",6,21,24,35,48,3,137
June 25 2022,"365,000",9,11,30,45,46,17,158
June 24 2022,"365,000",15,18,28,41,44,17,163
June 23 2022,"365,000",10,12,20,22,47,14,125
June 22 2022,"365,000",20,24,31,34,47,4,160
June 21 2022,"365,000",2,19,22,27,36,6,112
June 20 2022,"365,000",8,22,27,32,38,12,139
June 19 2022,"365,000",2,16,23,38,47,9,135
June 18 2022,"365,000",12,15,16,25,47,10,125
June 17 2022,"365,000",6,13,21,31,40,1,112
June 16 2022,"365,000",6,14,23,36,40,6,125
June 15 2022,"365,000",13,17,19,32,37,13,131
June 14 2022,"365,000",18,24,25,29,37,9,142
June 13 2022,"365,000",9,16,17,24,27,4,97
June 12 2022,"365,000",1,16,26,27,44,3,117
June 11 2022,"365,000",11,16,31,37,41,2,138
June 10 2022,"365,000",12,18,26,37,39,8,140
June 9 2022,"365,000",2,12,16,33,35,10,108
June 8 2022,"365,000",5,14,16,25,26,10,96
June 7 2022,"365,000",4,10,15,23,47,9,108
June 6 2022,"365,000",9,21,24,29,36,15,134
June 5 2022,"365,000",11,19,21,39,46,14,150
June 4 2022,"365,000",3,6,12,34,45,9,109
June 3 2022,"365,000",2,30,32,40,46,16,166
June 2 2022,"365,000",3,28,32,38,39,18,158
June 1 2022,"365,000",11,15,26,35,44,4,135
May 31 2022,"365,000",1,6,11,35,46,18,117
May 30 2022,"365,000",7,24,32,34,36,5,138
May 29 2022,"365,000",6,15,29,35,38,9,132
May 28 2022,"365,000",3,21,31,37,40,5,137
May 27 2022,"365,000",2,3,17,38,47,1,108
May 26 2022,"365,000",24,26,27,39,46,15,177
May 25 2022,"365,000",11,12,28,30,37,1,119
May 24 2022,"365,000",1,3,26,39,46,10,125
May 23 2022,"365,000",1,2,6,30,46,12,97
May 22 2022,"365,000",7,11,25,31,46,18,138
May 21 2022,"365,000",13,17,31,41,47,13,162
May 20 2022,"365,000",3,19,43,44,48,2,159
May 19 2022,"365,000",15,16,18,23,25,14,111
May 18 2022,"365,000",13,28,36,37,42,8,164
May 17 2022,"365,000",5,16,29,31,32,14,127
May 16 2022,"365,000",2,10,11,18,22,17,80
May 15 2022,"365,000",4,7,13,25,40,13,102
May 14 2022,"365,000",4,9,13,33,44,3,106
May 13 2022,"365,000",6,9,13,28,38,18,112
May 12 2022,"365,000",15,21,23,32,45,12,148
May 11 2022,"365,000",2,20,30,31,39,15,137
May 10 2022,"365,000",1,13,18,22,45,7,106
May 9 2022,"365,000",12,19,30,34,39,15,149
May 8 2022,"365,000",18,19,24,29,47,10,147
May 7 2022,"365,000",10,23,24,38,41,8,144
May 6 2022,"365,000",7,17,23,35,46,14,142
May 5 2022,"365,000",10,12,21,33,34,4,114
May 4 2022,"365,000",14,20,21,34,44,14,147
May 3 2022,"365,000",5,8,11,33,34,14,105
May 2 2022,"365,000",2,12,32,35,43,14,138
May 1 2022,"365,000",7,8,19,36,38,10,118
April 30 2022,"365,000",3,5,7,33,45,17,110
April 29 2022,"365,000",8,15,20,32,39,15,129
April 28 2022,"365,000",17,19,20,26,45,17,144
April 27 2022,"365,000",4,6,13,24,41,16,104
April 26 2022,"365,000",2,22,35,38,39,2,138
April 25 2022,"365,000",8,18,32,36,43,4,141
April 24 2022,"365,000",11,13,28,30,37,4,123
April 23 2022,"365,000",2,29,30,37,42,14,154
April 22 2022,"365,000",2,5,20,41,47,8,123
April 21 2022,"7,300,000",6,11,12,30,31,3,93
April 20 2022,"365,000",11,17,28,32,42,2,132
April 19 2022,"365,000",1,26,38,41,42,11,159
April 18 2022,"365,000",2,14,28,41,48,11,144
April 17 2022,"365,000",4,7,10,16,23,12,72
April 16 2022,"365,000",6,27,28,35,44,3,143
April 15 2022,"365,000",1,21,22,46,48,9,147
April 14 2022,"365,000",5,13,15,30,37,10,110
April 13 2022,"365,000",10,26,38,39,40,18,171
April 12 2022,"365,000",1,14,15,31,32,18,111
April 11 2022,"365,000",1,8,38,41,43,6,137
April 10 2022,"365,000",7,8,10,17,32,16,90
April 9 2022,"365,000",1,4,10,26,42,11,94
April 8 2022,"365,000",6,16,20,36,39,7,124
April 7 2022,"365,000",8,24,27,30,33,14,136
April 6 2022,"365,000",3,5,10,18,23,4,63
April 5 2022,"365,000",1,15,28,29,41,9,123
April 4 2022,"365,000",16,18,29,32,33,3,131
April 3 2022,"365,000",10,20,21,32,36,11,130
April 2 2022,"365,000",19,23,32,34,39,16,163
April 1 2022,"365,000",6,16,25,40,47,9,143
March 31 2022,"365,000",8,20,36,41,45,17,167
March 30 2022,"365,000",5,37,38,46,48,9,183
March 29 2022,"365,000",6,15,16,22,47,6,112
March 28 2022,"365,000",13,31,34,35,37,3,153
March 27 2022,"365,000",1,5,11,25,42,7,91
March 26 2022,"365,000",13,23,28,34,39,4,141
March 25 2022,"7,300,000",28,30,32,33,39,2,164
March 24 2022,"365,000",11,12,19,26,46,12,126
March 23 2022,"365,000",1,3,28,34,42,6,114
March 22 2022,"365,000",9,11,26,34,36,6,122
March 21 2022,"365,000",8,11,40,43,46,10,158
March 20 2022,"365,000",7,8,26,31,39,1,112
March 19 2022,"365,000",6,13,16,37,41,18,131
March 18 2022,"365,000",1,3,22,29,37,3,95
March 17 2022,"365,000",10,26,28,42,45,6,157
March 16 2022,"365,000",2,3,6,33,46,12,102
March 15 2022,"365,000",25,33,34,35,46,2,175
March 14 2022,"365,000",3,10,12,22,47,14,108
March 13 2022,"365,000",4,7,9,15,28,11,74
March 12 2022,"365,000",3,4,6,21,23,16,73
March 11 2022,"365,000",9,22,29,30,47,10,147
March 10 2022,"365,000",1,7,18,41,42,3,112
March 9 2022,"365,000",6,12,25,38,47,11,139
March 8 2022,"365,000",1,8,17,26,41,11,104
March 7 2022,"365,000",8,13,19,21,34,11,106
March 6 2022,"365,000",15,29,34,44,46,8,176
March 5 2022,"365,000",7,10,24,35,46,12,134
March 4 2022,"365,000",5,8,30,33,39,5,120
March 3 2022,"365,000",5,14,18,20,29,9,95
March 2 2022,"365,000",12,20,30,32,46,16,156
March 1 2022,"365,000",15,21,30,31,35,18,150
February 28 2022,"365,000",3,26,29,30,35,15,138
February 27 2022,"365,000",7,8,33,39,47,1,135
February 26 2022,"365,000",30,40,44,47,48,15,224
February 25 2022,"365,000",9,23,25,32,38,14,141
February 24 2022,"365,000",1,2,5,10,34,6,58
February 23 2022,"365,000",1,21,22,28,32,1,105
February 22 2022,"365,000",7,23,24,28,48,15,145
February 21 2022,"365,000",10,19,35,43,45,11,163
February 20 2022,"365,000",12,15,24,35,48,3,137
February 19 2022,"365,000",5,6,14,37,41,17,120
February 18 2022,"365,000",1,3,23,42,45,6,120
February 17 2022,"365,000",9,29,33,38,41,1,151
February 16 2022,"365,000",1,2,7,32,40,16,98
February 15 2022,"365,000",25,27,28,31,38,9,158
February 14 2022,"365,000",3,10,20,27,41,7,108
February 13 2022,"365,000",4,14,18,19,37,4,96
February 12 2022,"365,000",13,25,27,39,45,16,165
February 11 2022,"365,000",5,7,16,19,43,3,93
February 10 2022,"365,000",8,16,25,28,48,9,134
February 9 2022,"365,000",8,16,22,23,40,15,124
February 8 2022,"365,000",3,10,14,16,29,6,78
February 7 2022,"365,000",6,28,36,39,41,16,166
February 6 2022,"365,000",24,25,33,37,40,8,167
February 5 2022,"365,000",4,18,25,43,45,12,147
February 4 2022,"365,000",19,20,22,28,41,11,141
February 3 2022,"365,000",6,14,16,25,36,4,101
February 2 2022,"365,000",3,5,11,32,40,16,107
February 1 2022,"365,000",4,10,20,25,36,17,112
January 31 2022,"365,000",3,27,28,35,41,7,141
January 30 2022,"365,000",4,11,23,24,31,11,104
January 29 2022,"365,000",3,28,31,35,46,6,149
January 28 2022,"365,000",11,21,27,32,48,7,146
January 27 2022,"365,000",16,23,27,34,40,7,147
January 26 2022,"365,000",10,11,15,18,22,3,79
January 25 2022,"365,000",19,30,32,36,41,12,170
January 24 2022,"365,000",9,22,25,29,31,1,117
January 23 2022,"365,000",7,20,34,37,43,10,151
January 22 2022,"365,000",9,15,17,21,48,5,115
January 21 2022,"365,000",4,23,25,28,35,16,131
January 20 2022,"365,000",4,25,27,33,43,5,137
January 19 2022,"365,000",17,20,24,40,42,9,152
January 18 2022,"365,000",4,31,36,37,43,16,167
January 17 2022,"365,000",9,29,33,38,45,2,156
January 16 2022,"365,000",5,10,18,28,48,13,122
January 15 2022,"365,000",2,9,25,28,36,15,115
January 14 2022,"365,000",2,12,14,36,40,3,107
January 13 2022,"365,000",3,10,24,27,37,17,118
January 12 2022,"365,000",3,27,29,33,48,7,147
January 11 2022,"365,000",2,5,8,18,43,16,92
January 10 2022,"365,000",7,14,32,43,48,2,146
January 9 2022,"365,000",3,10,28,38,46,16,141
January 8 2022,"365,000",10,32,44,45,47,16,194
January 7 2022,"365,000",5,9,22,28,44,2,110
January 6 2022,"365,000",8,10,12,17,23,10,80
January 5 2022,"365,000",5,8,22,37,43,8,123
January 4 2022,"365,000",7,8,13,29,40,3,100
January 3 2022,"365,000",7,12,19,22,30,1,91
January 2 2022,"365,000",3,5,12,36,40,1,97
January 1 2022,"365,000",10,13,19,36,48,12,138
