Date,Price,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,L_Ball,Sum
December 31 2022,"365,000",2,5,37,39,40,14,137
December 30 2022,"365,000",8,13,35,42,47,1,146
December 29 2022,"365,000",7,9,11,23,32,12,94
December 28 2022,"365,000",7,10,14,15,41,8,95
December 27 2022,"365,000",9,19,35,42,43,6,154
December 26 2022,"365,000",17,18,22,37,43,16,153
December 25 2022,"365,000",9,25,34,41,48,18,175
December 24 2022,"365,000",4,7,15,25,36,7,94
December 23 2022,"365,000",5,12,30,37,41,17,142
December 22 2022,"365,000",8,16,24,27,38,1,114
December 21 2022,"365,000",1,5,21,27,38,3,95
December 20 2022,"365,000",22,23,26,34,39,17,161
December 19 2022,"365,000",10,12,23,32,45,11,133
December 18 2022,"365,000",11,19,20,25,34,18,127
December 17 2022,"365,000",8,12,36,39,47,14,156
December 16 2022,"7,300,000",1,22,30,32,34,18,137
December 15 2022,"365,000",2,10,19,35,46,15,127
December 14 2022,"7,300,000",2,4,6,17,20,5,54
December 13 2022,"365,000",4,5,10,20,34,6,79
December 12 2022,"365,000",13,15,29,36,44,8,145
December 11 2022,"365,000",4,15,28,32,45,18,142
December 10 2022,"365,000",2,16,30,39,41,9,137
December 9 2022,"365,000",4,23,31,44,46,5,153
December 8 2022,"365,000",2,4,14,29,40,8,97
December 7 2022,"365,000",2,23,32,44,48,2,151
December 6 2022,"7,300,000",11,16,22,31,42,18,140
December 5 2022,"365,000",15,19,20,38,48,15,155
December 4 2022,"365,000",4,8,22,38,43,12,127
December 3 2022,"365,000",1,7,13,30,40,3,94
December 2 2022,"365,000",4,8,20,25,34,16,107
December 1 2022,"365,000",4,10,27,42,48,1,132
November 30 2022,"365,000",5,6,11,15,30,9,76
November 29 2022,"365,000",17,18,26,27,48,13,149
November 28 2022,"365,000",17,21,35,36,42,9,160
November 27 2022,"365,000",2,25,27,30,39,12,135
November 26 2022,"365,000",5,12,18,19,31,4,89
November 25 2022,"365,000",1,6,23,36,42,1,109
November 24 2022,"365,000",12,15,22,25,43,10,127
November 23 2022,"365,000",20,21,24,34,37,14,150
November 22 2022,"365,000",8,11,13,20,28,4,84
November 21 2022,"365,000",1,2,5,33,38,12,91
November 20 2022,"365,000",19,24,35,43,47,5,173
November 19 2022,"365,000",1,21,34,39,44,10,149
November 18 2022,"365,000",20,24,26,33,41,18,162
November 17 2022,"365,000",13,14,22,23,30,3,105
November 16 2022,"365,000",1,16,21,32,44,8,122
November 15 2022,"365,000",17,28,33,34,36,11,159
November 14 2022,"365,000",4,15,19,36,43,17,134
November 13 2022,"365,000",20,21,24,33,45,2,145
November 12 2022,"365,000",2,12,26,29,35,18,122
November 11 2022,"365,000",2,23,29,42,46,1,143
November 10 2022,"365,000",12,30,34,36,43,16,171
