Date,Price,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,L_Ball,Sum
December 31 2020,"365,000",11,28,30,39,43,14,165
December 28 2020,"365,000",6,9,11,15,29,14,84
December 24 2020,"365,000",2,15,40,44,47,12,160
December 21 2020,"365,000",3,32,35,38,40,3,151
December 17 2020,"365,000",1,20,28,38,45,8,140
December 14 2020,"365,000",7,25,34,37,43,9,155
December 10 2020,"365,000",1,5,10,11,31,15,73
December 7 2020,"365,000",3,18,22,26,35,14,118
December 3 2020,"7,300,000",11,17,22,25,37,4,116
November 30 2020,"365,000",11,18,21,36,38,9,133
November 26 2020,"365,000",11,25,31,41,43,9,160
November 23 2020,"365,000",13,23,31,37,39,11,154
November 19 2020,"365,000",5,16,27,35,36,4,123
November 16 2020,"365,000",3,8,16,38,44,15,124
November 12 2020,"365,000",14,17,24,33,46,2,136
November 9 2020,"7,300,000",22,24,33,42,45,5,171
November 5 2020,"365,000",2,4,8,17,31,2,64
November 2 2020,"365,000",7,24,26,33,42,11,143
October 29 2020,"365,000",2,11,32,44,47,10,146
October 26 2020,"365,000",9,12,20,30,38,6,115
October 22 2020,"365,000",11,24,35,37,39,8,154
October 19 2020,"365,000",11,17,23,34,41,7,133
October 15 2020,"365,000",4,14,27,44,47,11,147
October 12 2020,"365,000",2,11,21,39,42,4,119
October 8 2020,"365,000",28,30,31,42,43,13,187
October 5 2020,"365,000",7,17,29,35,45,17,150
October 1 2020,"365,000",5,8,9,25,29,1,77
September 28 2020,"365,000",9,14,45,46,47,8,169
September 24 2020,"365,000",17,21,30,40,46,4,158
September 21 2020,"365,000",7,28,39,41,47,3,165
September 17 2020,"365,000",5,28,34,41,44,5,157
September 14 2020,"365,000",2,5,25,45,46,10,133
September 10 2020,"365,000",4,13,25,28,33,15,118
September 7 2020,"365,000",4,7,25,30,36,9,111
September 3 2020,"365,000",1,4,13,26,37,13,94
August 31 2020,"7,300,000",3,9,14,18,25,11,80
August 27 2020,"365,000",7,8,12,21,36,4,88
August 24 2020,"365,000",18,22,25,31,46,18,160
August 20 2020,"365,000",9,11,18,39,40,9,126
August 17 2020,"365,000",5,9,11,17,27,2,71
August 13 2020,"365,000",9,33,34,36,40,14,166
August 10 2020,"365,000",4,5,16,19,37,1,82
August 6 2020,"365,000",14,18,30,43,45,9,159
August 3 2020,"365,000",4,10,20,32,46,15,127
July 30 2020,"365,000",14,15,16,39,42,10,136
July 27 2020,"365,000",6,10,13,17,31,9,86
July 23 2020,"365,000",5,6,23,33,45,3,115
July 20 2020,"365,000",11,15,37,40,46,6,155
July 16 2020,"365,000",5,7,20,43,48,1,124
July 13 2020,"365,000",9,13,34,36,46,10,148
July 9 2020,"365,000",10,24,28,33,39,12,146
July 6 2020,"365,000",2,10,40,47,48,15,162
July 2 2020,"365,000",2,10,15,36,47,18,128
June 29 2020,"365,000",6,12,16,19,22,2,77
June 25 2020,"365,000",1,8,18,27,46,16,116
June 22 2020,"365,000",13,33,34,43,44,1,168
June 18 2020,"7,300,000",1,6,16,27,34,2,86
June 15 2020,"365,000",25,28,32,47,48,14,194
June 11 2020,"365,000",9,24,25,29,42,6,135
June 8 2020,"365,000",26,29,31,34,40,1,161
June 4 2020,"365,000",9,18,24,26,29,8,114
June 1 2020,"365,000",5,15,30,40,45,16,151
May 28 2020,"365,000",1,13,36,41,44,1,136
May 25 2020,"365,000",4,28,31,32,41,2,138
May 21 2020,"365,000",8,11,24,30,33,12,118
May 18 2020,"365,000",10,27,32,43,47,10,169
May 14 2020,"365,000",20,26,29,34,41,15,165
May 11 2020,"365,000",1,24,28,36,45,7,141
May 7 2020,"365,000",3,8,22,23,45,15,116
May 4 2020,"365,000",15,20,22,37,48,11,153
April 30 2020,"365,000",3,4,11,23,35,17,93
April 27 2020,"365,000",1,5,9,28,35,9,87
April 23 2020,"365,000",5,31,38,41,45,1,161
April 20 2020,"365,000",1,3,6,34,45,12,101
April 16 2020,"365,000",6,8,20,28,43,15,120
April 13 2020,"365,000",1,37,39,43,45,17,182
April 9 2020,"365,000",6,16,23,27,48,10,130
April 6 2020,"365,000",2,25,26,30,37,8,128
April 2 2020,"365,000",2,4,23,31,48,5,113
March 30 2020,"365,000",2,22,29,36,40,18,147
March 26 2020,"365,000",7,8,10,30,41,13,109
March 23 2020,"365,000",1,30,31,46,48,8,164
March 19 2020,"365,000",13,19,24,38,42,14,150
March 16 2020,"365,000",3,7,24,26,42,18,120
March 12 2020,"365,000",1,13,23,47,48,11,143
March 9 2020,"365,000",3,13,16,45,48,13,138
March 5 2020,"365,000",6,8,9,36,47,7,113
March 2 2020,"365,000",6,13,24,32,40,13,128
February 27 2020,"365,000",19,20,32,36,48,4,159
February 24 2020,"365,000",23,27,33,44,48,11,186
February 20 2020,"365,000",24,27,36,41,47,2,177
February 17 2020,"365,000",4,27,29,34,45,14,153
February 13 2020,"365,000",5,14,31,40,46,2,138
February 10 2020,"365,000",3,7,21,25,26,4,86
February 6 2020,"365,000",18,30,31,33,34,16,162
February 3 2020,"365,000",2,9,34,36,48,13,142
January 30 2020,"365,000",4,6,8,18,39,15,90
January 27 2020,"365,000",1,7,17,22,29,15,91
January 23 2020,"365,000",11,25,28,33,42,18,157
January 20 2020,"365,000",4,7,8,18,27,5,69
January 16 2020,"365,000",10,13,15,30,33,8,109
January 13 2020,"365,000",7,16,30,32,39,17,141
January 9 2020,"7,300,000",1,14,21,28,37,12,113
January 6 2020,"365,000",5,8,15,33,48,2,111
January 2 2020,"365,000",1,3,18,22,33,7,84
